"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\CreatingPost.tsx", "TypeScript JSX", 0, 93, 0, 0, 2, 10, 105
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\ExtendedPost.module.scss", "SCSS", 0, 0, 104, 0, 0, 18, 122
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\ExtendedPost.tsx", "TypeScript JSX", 0, 169, 0, 0, 0, 20, 189
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\Post.module.scss", "SCSS", 0, 0, 80, 0, 0, 8, 88
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\Post.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 8, 53
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\PostsList.module.scss", "SCSS", 0, 0, 12, 0, 29, 9, 50
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Posts\PostsList.tsx", "TypeScript JSX", 0, 32, 0, 0, 12, 6, 50
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Profile\Profile.module.scss", "SCSS", 0, 0, 21, 0, 0, 4, 25
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Profile\Profile.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 12, 103
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Profile\ProfileButtons.module.scss", "SCSS", 0, 0, 41, 0, 0, 8, 49
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Profile\ProfileButtons.tsx", "TypeScript JSX", 0, 45, 0, 0, 1, 6, 52
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Profile\ProfileInfo.module.scss", "SCSS", 0, 0, 108, 0, 1, 13, 122
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Profile\ProfileInfo.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 5, 71
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Search\Search.module.scss", "SCSS", 0, 0, 40, 0, 0, 5, 45
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\Search\Search.tsx", "TypeScript JSX", 0, 81, 0, 0, 1, 12, 94
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\SideMenu\SideMenu.module.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\SideMenu\SideMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\UsersList\UsersList.module.scss", "SCSS", 0, 0, 25, 0, 0, 3, 28
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\UsersList\UsersList.tsx", "TypeScript JSX", 0, 41, 0, 0, 1, 7, 49
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\UsersList\UsersListItem.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 3, 18
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\ValidationMessage\ValidationMessage.module.scss", "SCSS", 0, 0, 10, 0, 0, 2, 12
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\components\ValidationMessage\ValidationMessage.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 3, 12
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\getCorrectAvatarUrl.ts", "TypeScript", 8, 0, 0, 0, 1, 3, 12
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\getCorrectLabel.ts", "TypeScript", 43, 0, 0, 0, 0, 5, 48
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\getUserSubscribed.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\isLikedPost.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\resetFormFields.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\resetState.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\helpers\validations.ts", "TypeScript", 26, 0, 0, 0, 1, 5, 32
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\useCombinedSelector.ts", "TypeScript", 17, 0, 0, 0, 1, 4, 22
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\useLogout.ts", "TypeScript", 13, 0, 0, 0, 1, 2, 16
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\useOutsideClick.ts", "TypeScript", 20, 0, 0, 0, 0, 4, 24
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\useProfileRedirect.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\validators\index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\validators\useFormValidator.ts", "TypeScript", 17, 0, 0, 0, 0, 1, 18
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\hooks\validators\useValidator.ts", "TypeScript", 36, 0, 0, 0, 0, 5, 41
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\client\src\http\authApi.ts", "TypeScript", 30, 0, 0, 0, 0, 3, 33
